PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
06uiQ,3r1k2/p5pp/2p2p2/P7/1Rq5/8/1P3PPP/6K1 w - - 0 32,b4c4 d8d1,531,100,61,439,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/fQt5WaDb#63,
06umd,3rr1k1/pb3p1P/4p2B/8/8/3B4/qP1bQ1PP/4R2K b - - 0 24,g8h8 e2e5 f7f6 e5f6,1089,78,89,153,mate mateIn2 middlegame short,https://lichess.org/NHjcKxS1/black#48,
06urT,r5k1/2P2p1p/1n1q4/5p2/p3R3/P1Q5/BP3PPP/6K1 w - - 0 31,e4h4 d6d1 c3e1 d1e1,590,96,84,802,endgame mate mateIn2 short,https://lichess.org/6BCxyKmr#61,
06v5i,1q2k2r/3bn3/4ppp1/p1Q5/1r6/4P3/PP2BPPP/RNB2RK1 w k - 2 18,b2b3 b8h2,1033,88,88,55,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/alwRuIZP#35,Queens_Gambit_Accepted Queens_Gambit_Accepted_Old_Variation
06vDU,6k1/6pp/3R1p2/2Rpr3/3r4/6P1/P4PP1/6K1 w - - 4 32,d6d7 d4d1 g1h2 e5h5,1078,96,54,32,endgame mate mateIn2 rookEndgame short,https://lichess.org/3uXdgvV6#63,
06vNW,1n3rk1/Q4ppp/1p6/6bb/4N3/P3P1R1/1q1B1P1P/R3K3 w Q - 0 21,d2c3 b2e2,1363,88,68,43,mate mateIn1 middlegame oneMove,https://lichess.org/L2p3DBvd#41,
06vSn,1r3r1k/ppq2p2/4pNp1/4Pn2/5n2/1R5Q/P1P2PPP/5R1K b - - 1 24,f4h3 b3h3 f5h4 h3h4 h8g7 h4h7,951,84,95,621,exposedKing hookMate kingsideAttack long mate mateIn3 middlegame,https://lichess.org/6TIIFBO2/black#48,
06vTI,2k1r2r/p1p2pp1/2P5/3q3p/PQ1pb3/6P1/5PBP/R3R1K1 b - - 4 24,e4g2 b4b7 c8d8 b7a8,1252,75,96,421,mate mateIn2 middlegame queensideAttack short,https://lichess.org/V8PlEiSd/black#48,
06w7m,1r2R1k1/p4ppp/1p6/3r1p2/P2P4/2P1R3/1P4PP/6K1 b - - 1 30,b8e8 e3e8,420,95,100,171,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/0db7yzZ3/black#60,
06w9j,r4rk1/ppp2ppp/4b3/4P1q1/3RQ1Pn/2B4P/P1B2P2/5RK1 b - - 2 19,g5e5 e4h7,1569,80,77,319,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/zwtI09ic/black#38,Scotch_Game Scotch_Game_Scotch_Gambit
06wFF,rn1qk1nr/ppp1bppp/8/3pp3/P5bP/5P2/1PPPP3/RNBQKBNR w KQkq - 1 5,f3g4 e7h4 h1h4 d8h4,680,91,64,124,mate mateIn2 opening short,https://lichess.org/zEdTTzdX#9,Ware_Opening Ware_Opening_Other_variations
06wlo,r1bq2k1/pp3rp1/2p2nQ1/7p/2BpP3/P1P4P/5P2/R1B1K1R1 b Q - 0 19,d8e7 g6g7,1722,79,93,107,kingsideAttack mate mateIn1 middlegame oneMove pin,https://lichess.org/p1T7OdlB/black#38,
